"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000006747",233.576684702726,-0.135879696010361,0.262564990504495,-0.517508810863476,0.6048010199373,0.747970471690943
"ENSG00000006756",229.969181382514,-0.337847424542685,0.105241357840063,-3.21021537042612,0.00132635553348488,0.0117177737012333
"ENSG00000006757",147.035899749624,0.0181470144438835,0.102498788557116,0.177046135855268,0.859472150774018,0.919679972655602
"ENSG00000006788",1.41661321011546,0.239669333872907,0.387904286615516,0.617856884140243,0.536669682399236,0.694143603173596
"ENSG00000006831",3123.81481455388,-0.401089915215907,0.16021023583114,-2.50352240688698,0.0122963893994461,0.0527237810554044
"ENSG00000006837",116.232784160881,-0.113949046669109,0.067826014620981,-1.68001978747931,0.0929534658496477,0.21500144356478
"ENSG00000007001",62.583427610315,0.546936951114393,0.115456795653911,4.73715685609249,2.16737410252767e-06,0.000194558142292048
"ENSG00000007038",1.40086362526049,0.00414896008441109,0.403431261380514,0.0102841809288988,0.991794555457206,0.995511034845423
"ENSG00000007047",935.520523266233,0.159505660270491,0.0661125800302815,2.41263705330261,0.0158375818236972,0.0627584897816338
"ENSG00000007062",124.503277591637,-0.353985008843478,0.113248609785705,-3.12573381265613,0.00177362013805069,0.0140558871200831
"ENSG00000007080",345.616538579445,0.0162531332301257,0.0568596974141593,0.285846284262468,0.774995856710258,0.866706288250821
"ENSG00000007129",7.32497532967414,-0.144081804373416,0.219428179988696,-0.656623977744511,0.511422727354468,0.673615010424831
"ENSG00000007168",7625.90122160757,0.100529917034683,0.0747911600773438,1.34414169977738,0.178902569866341,0.337551828402722
"ENSG00000007171",88.0959090889632,0.478304172764474,0.177173410333021,2.69963857367444,0.00694148408291651,0.0358528152117359
"ENSG00000007174",294.16888690106,-0.365257388754425,0.177533670660541,-2.05739782991829,0.0396479737265624,0.119089257484995
"ENSG00000007202",4001.49902231285,0.0265231584235093,0.0356833202548914,0.743292895225285,0.457304372086672,0.627306415280348
"ENSG00000007216",0.740792312429306,0.285272746013499,0.512590666801904,0.55653129190459,0.577847708938055,NA
"ENSG00000007237",14468.6199296375,0.151274633867432,0.0716266253198345,2.11198884761002,0.0346874058698804,0.108322925829249
"ENSG00000007255",67.9281221645084,-0.458489812853395,0.105353068637662,-4.3519360070115,1.34940652016081e-05,0.000599510338158826
"ENSG00000007264",305.972551060252,0.34004969797328,0.142801021744749,2.3812833677136,0.0172524349127272,0.0667278824284213
"ENSG00000007312",2.8578297263599,-0.153122288558038,0.278237600375961,-0.550329245045013,0.582093568896319,0.730628241391343
"ENSG00000007314",9.40768309445782,-0.132986271711203,0.223723330744218,-0.594422902916841,0.552229293820847,0.706869540676023
"ENSG00000007341",361.401054615063,-0.081578534114178,0.0404842481650463,-2.01506852199894,0.0438974699183822,0.127422538819002
"ENSG00000007350",5.87660264267692,0.424248088811098,0.298602882546529,1.42077693689039,0.155381617516027,0.306687261217233
"ENSG00000007372",588.667971038041,-0.265310112769072,0.117328290638872,-2.26126291727609,0.0237429810829346,0.0832152151776806
"ENSG00000007376",247.133800899718,0.0844774963556675,0.0777934614341591,1.08592026628312,0.277514269784909,0.453628898467744
"ENSG00000007384",222.716252854056,-0.320653708523213,0.101924959812962,-3.14597826785147,0.00165532305043562,0.0134559800188725
"ENSG00000007392",1380.58479657601,-0.0273521035433689,0.0655687977150905,-0.417151213633949,0.676567807033677,0.801245241440001
"ENSG00000007402",417.736502016342,0.339917478564262,0.108169216776239,3.14246038470835,0.00167534382277347,0.013582454532185
"ENSG00000007516",2910.69737397106,-0.219535730188565,0.131881944418458,-1.66463825777382,0.0959849478184482,0.219766411912274
"ENSG00000007520",189.965877205722,-0.167003118982516,0.0590072139640415,-2.83021528663065,0.004651669188373,0.0272961513204159
"ENSG00000007541",771.56216799116,0.0811598268426695,0.0733779033151146,1.10605268311001,0.268703717188053,0.443661253642072
"ENSG00000007545",884.38239510575,0.0117584539516695,0.0375606238234818,0.313052680033458,0.754240639224867,0.853789489947808
"ENSG00000007866",91.2268848735738,-0.252912496253377,0.130122114826263,-1.94365497818001,0.051937071218048,0.143246141327545
"ENSG00000007908",71.4898384072429,-1.81266237550064,0.483074926117415,-3.75234208504554,0.00017519018549644,0.00311187956550519
"ENSG00000007923",792.736701065093,0.0222281923782443,0.0471202713543534,0.471733114843165,0.637117297327448,0.772219299076369
"ENSG00000007933",19.1061887733539,-0.598031484364662,0.143019036220739,-4.18148171157893,2.89615549618049e-05,0.000975573183889449
