"geneid","gene_name"
"750","ENSG00000237467","USP9YP35"
"751","ENSG00000229250","USP9YP31"
"752","ENSG00000232205","CDY18P"
"754","ENSG00000274234","RN7SL818P"
"755","ENSG00000225491","UBE2Q2P4Y"
"756","ENSG00000224827","LINC00265-2P"
"757","ENSG00000233740","CICP2"
"759","ENSG00000234399","RBMY2XP"
"760","ENSG00000227439","TTTY17B"
"761","ENSG00000224210","TRIM60P5Y"
"762","ENSG00000232003","ZNF736P12Y"
"763","ENSG00000235412","TTTY4B"
"764","ENSG00000183795","BPY2B"
"766","ENSG00000236379","ZNF736P4Y"
"768","ENSG00000227633","RBMY2YP"
"770","ENSG00000233652","CICP1"
"771","ENSG00000233944","LINC00265-3P"
"772","ENSG00000223636","UBE2Q2P5Y"
"773","ENSG00000172297","GOLGA2P3Y"
"774","ENSG00000278242","RN7SL725P"
"776","ENSG00000237823","CDY19P"
"777","ENSG00000229709","USP9YP36"
"778","ENSG00000232064","USP9YP33"
"779","ENSG00000225609","CDY20P"
"780","ENSG00000270535","ELOCP34"
"781","ENSG00000225287","OFD1P13Y"
"782","ENSG00000225256","TRAPPC2P5"
"783","ENSG00000223856","RAB9AP2"
"784","ENSG00000235004","USP9YP30"
"785","ENSG00000252426","RNU1-107P"
"786","ENSG00000231141","TTTY3"
"787","ENSG00000232614","USP9YP9"
"788","ENSG00000225326","USP9YP19"
"789","ENSG00000223406","XKRYP5"
"790","ENSG00000224240","CYCSP49"
"791","ENSG00000227629","SLC25A15P1"
"792","ENSG00000237917","PARP4P1"
"793","ENSG00000231514","CCNQP2"
"794","ENSG00000172288","CDY1"
"795","ENSG00000242875","RBMY1B"
"796","ENSG00000234414","RBMY1A1"
"797","ENSG00000234795","RFTN1P1"
"800","ENSG00000281449","BCL2L14"
"801","ENSG00000180910","TTTY11"
"802","ENSG00000224060","ARSLP1"
"803","ENSG00000242153","OFD1P6Y"
"804","ENSG00000250868","XKRY"
"805","ENSG00000244646","XKRYP7"
"808","ENSG00000227289","HSFY3P"
"810","ENSG00000235462","TAB3P1"
"812","ENSG00000241859","ANOS2P"
"813","ENSG00000223637","RBMY2EP"
"814","ENSG00000239533","GOLGA2P2Y"
"815","ENSG00000291016","GOLGA2P2Y"
"817","ENSG00000131002","TXLNGY"
"818","ENSG00000206159","GYG2P1"
"819","ENSG00000232235","CDY3P"
"820","ENSG00000224408","USP9YP22"
"821","ENSG00000238154","USP9YP4"
"822","ENSG00000281442","PTMAP9"
"823","ENSG00000283344","MIR1244-4"
"824","ENSG00000232924","ELOCP4"
"826","ENSG00000281324","LRP6"
"827","ENSG00000232808","TTTY20"
"828","ENSG00000233803","TSPY4"
"829","ENSG00000228383","FAM197Y7"
"831","ENSG00000237802","FAM197Y6"
"833","ENSG00000229549","TSPY8"
"834","ENSG00000228927","TSPY3"
"835","ENSG00000215540","RBMY2CP"
"836","ENSG00000215507","RBMY2DP"
"837","ENSG00000239893","ZNF736P9Y"
"838","ENSG00000225560","FAM197Y8"
"839","ENSG00000099725","PRKY"
"840","ENSG00000290725","XKRYP7"
"841","ENSG00000280475","RPL21P100"
"842","ENSG00000215580","BCORP1"
"843","ENSG00000206783","RNU6-545P"
"845","ENSG00000207477","RNU6-318P"
"846","ENSG00000281818","MANSC1"
"847","ENSG00000293362","FAM197Y8"
"848","ENSG00000290330","FAM197Y5"
"849","ENSG00000225516","FAM197Y5"
"850","ENSG00000258992","TSPY1"
"851","ENSG00000281051","RPL23AP66"
"852","ENSG00000290373","FAM197Y4"
"853","ENSG00000274196","FAM197Y4"
"854","ENSG00000281234","LOH12CR2"
"855","ENSG00000238074","TSPY9"
"856","ENSG00000280689","BORCS5"
"857","ENSG00000290607","FAM197Y3"
"858","ENSG00000230066","FAM197Y3"
"860","ENSG00000234803","FAM197Y2"
"861","ENSG00000236424","TSPY10"
"863","ENSG00000280962","DUSP16"
"864","ENSG00000224336","FAM197Y1"
"865","ENSG00000234110","TSPY25P"
"866","ENSG00000226223","TSPY16P"
"868","ENSG00000224075","TTTY22"
"871","ENSG00000231874","TSPY18P"
"872","ENSG00000234950","RBMY2OP"
"873","ENSG00000236718","RBMY2QP"
"874","ENSG00000243643","TSPY20P"
"876","ENSG00000225685","TSPY5P"
"879","ENSG00000251766","RNA5SP518"
"880","ENSG00000252289","RNA5SP519"
"882","ENSG00000231411","DUX4L31"
"883","ENSG00000226061","PCMTD1P1"
"884","ENSG00000237447","CDC27P2"
"886","ENSG00000251705","RNA5-8SP6"
"887","ENSG00000237195","DLGAP5P1"
"888","ENSG00000250204","TTTY23B"
"889","ENSG00000168757","TSPY2"
"890","ENSG00000290448","FAM197Y9"
"891","ENSG00000234830","FAM197Y9"
"893","ENSG00000234583","TSPY19P"
"895","ENSG00000229643","LINC00280"
"897","ENSG00000232620","TSPY17P"
"904","ENSG00000239225","TTTY23"
"905","ENSG00000230663","FAM224B"
"907","ENSG00000212856","TTTY2B"
"908","ENSG00000129816","TTTY1B"
"909","ENSG00000147753","TTTY7"
"910","ENSG00000185700","TTTY8B"
"916","ENSG00000291414","MIR4740"
"917","ENSG00000291415","MIR3186"
"919","ENSG00000291417","LINC01971"
"922","ENSG00000291420","ACTG1"
"927","ENSG00000229236","TTTY10"
"928","ENSG00000291421","BAHCC1"
"929","ENSG00000290323","TTTY16"
"933","ENSG00000291425","LINC03048"
"934","ENSG00000237048","TTTY12"
"936","ENSG00000212855","TTTY2"
"937","ENSG00000147761","TTTY7B"
"938","ENSG00000233070","ZFY-AS1"
"946","ENSG00000223641","TTTY17C"
"947","ENSG00000228786","SEPTIN14P23"
"955","ENSG00000290726","FAM41AY2"
"957","ENSG00000231535","LINC00278"
"959","ENSG00000129845","TTTY1"
"961","ENSG00000290381","TTTY11"
"975","ENSG00000286217","LINC00279"
"977","ENSG00000288430","RNU5B-4P"
"978","ENSG00000288297","ECSCR"
"979","ENSG00000233699","TTTY18"
"981","ENSG00000288274","SMIM33"
"982","ENSG00000288243","STING1"
"984","ENSG00000183385","TTTY8"
"987","ENSG00000227166","STSP1"
"989","ENSG00000227204","RBMY2JP"
"991","ENSG00000227447","XGY1"
"993","ENSG00000230727","RBMY2WP"
"995","ENSG00000224151","USP9YP28"
"996","ENSG00000176728","TTTY14"
"998","ENSG00000288138","NCOA4P4"
"1000","ENSG00000226011","OFD1P1Y"
"1001","ENSG00000227494","USP9YP14"
"1002","ENSG00000237659","RNASEH2CP1"
"1003","ENSG00000290840","XGY2"
"1004","ENSG00000205936","PPP1R12BP2"
"1005","ENSG00000225189","REREP1Y"
"1008","ENSG00000232583","GPR143YP"
"1010","ENSG00000234888","OFD1P15Y"
"1011","ENSG00000235014","REREP2Y"
"1012","ENSG00000229238","PPP1R12BP1"
"1014","ENSG00000188399","ANKRD36P1"
"1017","ENSG00000226611","OFD1P2Y"
"1018","ENSG00000240438","OFD1P5Y"
"1019","ENSG00000237269","RBMY2TP"
"1021","ENSG00000225466","OFD1P10Y"
"1024","ENSG00000223698","GOLGA6L11P"
"1026","ENSG00000242854","DNM1P24"
"1027","ENSG00000244231","CSPG4P2Y"
"1028","ENSG00000172342","CSPG4P3Y"
"1031","ENSG00000248792","SEPTIN14P22"
"1035","ENSG00000172294","CSPG4P4Y"
"1036","ENSG00000240450","CSPG4P1Y"
"1037","ENSG00000239304","DNM1P48"
"1038","ENSG00000197092","GOLGA6L16P"
"1042","ENSG00000215506","TPTE2P4"
"1043","ENSG00000197038","RBMY1A3P"
"1045","ENSG00000188656","TSPY7P"
"1047","ENSG00000270073","TSPY6P"
"1049","ENSG00000236786","TSPY15P"
