"gene_id","control_mean"
"ENSG00000024422","ENSG00000024422",604.5
"ENSG00000024526","ENSG00000024526",10.2
"ENSG00000024862","ENSG00000024862",184.766666666667
"ENSG00000025039","ENSG00000025039",1081.06666666667
"ENSG00000025156","ENSG00000025156",304.566666666667
"ENSG00000025293","ENSG00000025293",1143.3
"ENSG00000025423","ENSG00000025423",85.2333333333333
"ENSG00000025434","ENSG00000025434",130.833333333333
"ENSG00000025708","ENSG00000025708",226.666666666667
"ENSG00000025770","ENSG00000025770",623.6
"ENSG00000025772","ENSG00000025772",334.1
"ENSG00000025796","ENSG00000025796",1469.43333333333
"ENSG00000025800","ENSG00000025800",2545.43333333333
"ENSG00000026025","ENSG00000026025",5394.2
"ENSG00000026036","ENSG00000026036",517.666666666667
"ENSG00000026103","ENSG00000026103",187.6
"ENSG00000026297","ENSG00000026297",835.5
"ENSG00000026508","ENSG00000026508",2004.7
"ENSG00000026559","ENSG00000026559",163.6
"ENSG00000026652","ENSG00000026652",3669.53333333333
"ENSG00000026751","ENSG00000026751",5.26666666666667
"ENSG00000026950","ENSG00000026950",274.766666666667
"ENSG00000027001","ENSG00000027001",143.2
"ENSG00000027075","ENSG00000027075",206.9
"ENSG00000027644","ENSG00000027644",6.93333333333333
"ENSG00000027697","ENSG00000027697",711.166666666667
"ENSG00000027847","ENSG00000027847",261.533333333333
"ENSG00000027869","ENSG00000027869",8.16666666666667
"ENSG00000028116","ENSG00000028116",468.133333333333
"ENSG00000028137","ENSG00000028137",380.733333333333
"ENSG00000028203","ENSG00000028203",1702.83333333333
"ENSG00000028277","ENSG00000028277",167.666666666667
"ENSG00000028310","ENSG00000028310",911.966666666667
"ENSG00000028528","ENSG00000028528",2753.3
"ENSG00000028839","ENSG00000028839",274.966666666667
"ENSG00000029153","ENSG00000029153",335.166666666667
"ENSG00000029363","ENSG00000029363",3307.46666666667
"ENSG00000029364","ENSG00000029364",1271.83333333333
"ENSG00000029534","ENSG00000029534",491.7
"ENSG00000029559","ENSG00000029559",2.06666666666667
"ENSG00000029639","ENSG00000029639",215.2
"ENSG00000029725","ENSG00000029725",2321.93333333333
"ENSG00000029993","ENSG00000029993",141.8
"ENSG00000030066","ENSG00000030066",564.6
"ENSG00000030110","ENSG00000030110",156.566666666667
"ENSG00000030304","ENSG00000030304",59.5
"ENSG00000030419","ENSG00000030419",795.566666666667
"ENSG00000030582","ENSG00000030582",958.233333333333
"ENSG00000031003","ENSG00000031003",1465.2
"ENSG00000031081","ENSG00000031081",1287.36666666667
"ENSG00000031691","ENSG00000031691",73.5333333333333
"ENSG00000031698","ENSG00000031698",1701.1
"ENSG00000031823","ENSG00000031823",961.133333333333
"ENSG00000032219","ENSG00000032219",647.733333333333
"ENSG00000032389","ENSG00000032389",321.266666666667
"ENSG00000032444","ENSG00000032444",2091.8
"ENSG00000032742","ENSG00000032742",313.566666666667
"ENSG00000033011","ENSG00000033011",264.333333333333
"ENSG00000033030","ENSG00000033030",383.633333333333
"ENSG00000033050","ENSG00000033050",611.733333333333
"ENSG00000033100","ENSG00000033100",623.7
"ENSG00000033122","ENSG00000033122",6316.56666666667
